building_id,building_name,property_type,sqft,current_eui,reduction_needed_pct,recommended_opt_in,penalties_if_default,penalties_if_optin,npv_benefit_of_optin,primary_rationale,analysis_timestamp
1001,baymont inn and suites denver airport,Hotel,58929.0,67.7,9.7,False,69831.0,178908.0,-72053.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1002,hyatt house denver international airport,Hotel,91154.0,71.9,15.0,True,321318.0,452853.0,-56450.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1004,6850 argonne denver airport business park,Office,38264.0,75.7,36.2,True,299607.0,482279.0,-98300.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1005,6860 argonne denver airport business park,Office,38277.0,136.6,64.6,True,1032331.0,1554735.0,-257360.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1006,days inn and suites dia,Hotel,53785.0,65.9,7.3,False,54861.0,118757.0,-40883.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1007,denver co sprk,Hotel,50127.0,51.7,-18.2,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1008,americinn hotels & suites,Hotel,47551.0,79.1,22.8,True,249643.0,393722.0,-75758.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1009,denver airport co dt,Hotel,105670.0,91.0,32.9,True,917744.0,1453385.0,-282937.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1010,denver co hies,Hotel,70848.0,53.9,-13.4,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1011,quality inn & suites dia,Hotel,53920.0,63.9,4.4,False,22646.0,69449.0,-31611.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1012,311mj-denap-cy denver airport,Hotel,107400.0,80.1,23.7,True,521964.0,938676.0,-246082.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1013,ffis denver airport,Hotel,80287.0,59.5,-2.7,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1014,0978-denver (airport/dia),Hotel,92657.0,71.8,14.9,False,214038.0,456058.0,-154259.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1015,high plains office,Office,27067.0,57.5,0.3,True,2436.0,2490.0,288.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1016,7001 tower road,Office,70086.0,62.4,-19.1,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1017,staybridge suites dia,Hotel,108548.0,75.5,19.1,True,703391.0,719022.0,83242.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1018,embassy suites dia,Hotel,143498.0,48.0,-40.0,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1019,springhill denver airport,Hotel,72203.0,60.2,-1.5,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1020,hampton inn dia denver airport,Hotel,71000.0,67.4,9.3,True,201285.0,205758.0,23821.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1021,dia hospitality,Hotel,38804.0,70.8,13.7,True,126307.0,173143.0,-18488.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1035,waller,K-12 School,112253.0,48.1,0.2,False,1684.0,5164.0,-2350.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1036,2963 - green valley ranch mob,Medical Office,45761.0,60.6,-13.9,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1037,green valley ranch library,Library,26000.0,91.4,42.1,True,323700.0,460460.0,-60168.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1038,omar d. blair,K-12 School,78979.0,67.9,29.3,True,390946.0,722974.0,-199447.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1040,green valley ranch rec ctr,Other - Recreation,34126.0,71.8,-22.4,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1041,62000083-green valley rnch town cntr,Supermarket/Grocery Store,58864.0,184.1,10.7,True,336408.0,533426.0,-104225.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1042,dennis campus building #1,K-12 School,83833.0,32.2,-64.0,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1043,dennis campus building #2,K-12 School,36694.0,18.5,-185.4,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1044,dennis campus building #3,K-12 School,36694.0,38.9,-23.4,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1045,dennis campus building #4,K-12 School,41740.0,22.7,-132.6,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1047,montbello rec ctr,Other - Recreation,44394.0,141.3,22.1,False,270359.0,637143.0,-238909.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1049,noel,K-12 School,143965.0,61.9,22.5,True,524752.0,920512.0,-229783.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1055,building 1,Multifamily Housing,25180.0,39.9,-10.8,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1056,building 2,Multifamily Housing,25672.0,44.5,0.7,False,1155.0,3543.0,-1613.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1057,building 3,Multifamily Housing,25672.0,41.2,-7.3,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1058,building 7,Multifamily Housing,25180.0,39.1,-13.0,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1059,building 8,Multifamily Housing,25180.0,50.8,13.0,True,64209.0,76446.0,-631.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1060,building 9,Multifamily Housing,25180.0,46.9,5.8,False,14353.0,31274.0,-10843.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1061,building 10,Multifamily Housing,25180.0,49.0,9.8,True,54389.0,55597.0,6437.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1062,building 11,Multifamily Housing,25672.0,47.3,6.6,False,16173.0,36608.0,-13205.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1063,building 12,Multifamily Housing,25672.0,44.6,0.9,False,1540.0,4724.0,-2150.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1064,dcis at ford,K-12 School,73848.0,38.4,-37.5,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1066,montbello,K-12 School,304137.0,49.0,-7.8,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1067,"denver (wnm), co",Supermarket/Grocery Store,57561.0,173.3,5.1,False,95839.0,235655.0,-91756.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1068,greenwood,K-12 School,75996.0,55.1,12.9,False,80936.0,248203.0,-112974.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1069,sable ridge residences,Multifamily Housing,57063.0,54.9,12.4,True,142943.0,178493.0,-7719.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1070,oakland,K-12 School,77708.0,38.1,-26.0,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1071,4555 airport way,Office,92226.0,46.6,-3.6,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1115,towne square lofts homeowners association inc.,Multifamily Housing,50000.0,51.8,14.7,False,57000.0,174800.0,-79563.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1117,denver airport co cy,Hotel,72203.0,80.1,23.7,False,288090.0,631054.0,-220044.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1118,gateway vii,Other - Services,43585.0,48.3,28.4,False,122910.0,274673.0,-97804.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1119,four gateway centre,Office,61958.0,69.8,30.8,True,448886.0,612765.0,-63832.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1120,towneplace suites - dia/gateway,Hotel,59037.0,62.1,1.6,True,23910.0,27157.0,766.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1121,cae building,K-12 School,45355.0,62.4,23.1,False,135385.0,300432.0,-106202.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1122,raymond james & associates,Data Center,39014.0,539.7,100.0,True,9475135.0,9685694.0,1121328.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1123,hampton inn denver/airport gateway park,Hotel,74296.0,74.2,17.7,True,363307.0,447708.0,-15051.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1125,homewood suites dia,Hotel,93875.0,59.3,-3.0,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1126,king (mlk),K-12 School,203487.0,46.2,-3.9,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1149,marrama,K-12 School,80779.0,29.6,-62.2,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1150,green valley ranch elementary,K-12 School,74435.0,45.3,-6.0,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1151,john amesse elementary,K-12 School,70740.0,73.5,34.7,True,578300.0,829780.0,-112943.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1152,bt42568-11333 e 55th ave,Non-Refrigerated Warehouse,114046.0,46.3,41.3,True,788628.0,1002008.0,-55572.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1153,tal airport - 55th,Distribution Center,172400.0,44.3,100.0,True,3436794.0,3513167.0,406725.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1154,midway ii 11440,Distribution Center,92042.0,36.1,13.3,True,158772.0,203229.0,-12258.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1155,denver business center (11605-11685 e 55th),Non-Refrigerated Warehouse,100000.0,8.8,-209.1,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1156,sp richards,Distribution Center,210000.0,14.4,-76.4,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1157,tal airport - 53rd,Distribution Center,168560.0,32.1,17.1,True,222499.0,426457.0,-124803.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1158,denver business center-11685 e 53rd,Non-Refrigerated Warehouse,167995.0,31.8,14.5,True,347750.0,355477.0,41154.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
1159,denver business center-11585 e 53rd,Non-Refrigerated Warehouse,167972.0,22.6,-20.4,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
1160,5401 oswego - 11513,Mixed Use Property,54738.0,68.6,100.0,True,1689762.0,1727312.0,199974.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
