building_id,property_type,current_eui,baseline_eui,pct_reduction_requested,total_penalties_default,total_penalties_optin,should_opt_in,primary_rationale
2047,Manufacturing/Industrial Plant,998.5,0.0,0.0,196711513.2,201082880.16,True,Near maximum reduction cap
1663,Manufacturing/Industrial Plant,910.8,0.0,0.0,94127930.1,96219661.88000001,True,Near maximum reduction cap
3919,Manufacturing/Industrial Plant,1943.4,0.0,0.0,91878300.0,93920040.0,True,Near maximum reduction cap
1272,Manufacturing/Industrial Plant,946.9,0.0,0.0,83888802.9,85752998.52000001,True,Near maximum reduction cap
5598,Data Center,984.9,0.0,0.0,83443091.75999999,85297382.688,True,Near maximum reduction cap
2042,Data Center,739.6,0.0,0.0,59804758.62,61133753.256000005,True,Near maximum reduction cap
1762,ADULT EDUCATION,430.2,286.6,87.02023726448012,59666379.9912,61534043.049839996,True,Hit 42% reduction cap
1883,Manufacturing/Industrial Plant,713.3,0.0,0.0,55083798.900000006,56307883.32,True,Near maximum reduction cap
5692,Other - Utility,276.1,0.0,0.0,54665687.835,55880480.89800001,True,Near maximum reduction cap
1325,Manufacturing/Industrial Plant,662.5,0.0,0.0,47474916.480000004,48529914.624000005,True,Near maximum reduction cap
1494,Manufacturing/Industrial Plant,2082.4,0.0,0.0,42010650.0,42944220.0,True,Near maximum reduction cap
5686,Other - Utility,181.8,0.0,0.0,34031160.18,34787408.18400001,True,Near maximum reduction cap
5097,Transportation Terminal/Station,128.0,116.9,25.1497005988024,32975835.75,42006141.54,True,Cannot meet any targets
3837,Manufacturing/Industrial Plant,1223.5,0.0,0.0,31079430.0,31770084.0,True,Near maximum reduction cap
3780,Hospital (General Medical & Surgical),296.3,297.3,44.43323242515978,30657884.715900004,41895675.302760005,True,Hit 42% reduction cap
3322,Manufacturing/Industrial Plant,496.2,0.0,0.0,30249905.4,30922125.52,True,Near maximum reduction cap
1649,Manufacturing/Industrial Plant,552.4,0.0,0.0,29745150.075000003,30406153.41,True,Near maximum reduction cap
5100,Transportation Terminal/Station,121.1,124.4,29.983922829582,27698610.224999994,40392192.440000005,True,Cannot meet any targets
2499,Convention Center,74.3,58.1,25.12908777969019,26531999.999999996,31169600.0,True,Near maximum reduction cap
3295,Other - Utility,481.5,0.0,0.0,26248226.174999997,26831520.09,True,Near maximum reduction cap
5241,Hospital (General Medical & Surgical),255.3,263.6,37.32928679817907,25384165.170000006,36953709.50600001,True,Cannot meet any targets
1262,Manufacturing/Industrial Plant,670.8,0.0,0.0,24999368.939999998,25554910.472,True,Near maximum reduction cap
1996,Non-Refrigerated Warehouse,365.9,0.0,0.0,24927614.414999995,25481561.402,True,Near maximum reduction cap
2090,Manufacturing/Industrial Plant,754.5,0.0,0.0,24660889.2,25208908.96,True,Near maximum reduction cap
2604,Data Center,415.1,0.0,0.0,24096555.0,24632034.0,True,Near maximum reduction cap
5584,Manufacturing/Industrial Plant,188.8,0.0,0.0,24093296.505000003,24628703.094000004,True,Near maximum reduction cap
1603,Distribution Center,147.2,0.0,0.0,22286977.919999994,22782244.095999997,True,Near maximum reduction cap
2657,Hotel,121.2,142.3,57.06254392129305,21568498.9542,27658821.40888,True,Hit 42% reduction cap
1316,Manufacturing/Industrial Plant,404.2,0.0,0.0,20538245.115000002,20994650.562000003,True,Near maximum reduction cap
2071,Manufacturing/Industrial Plant,180.8,0.0,0.0,19458827.505,19891245.894,True,Near maximum reduction cap
1329,Manufacturing/Industrial Plant,358.8,0.0,0.0,19132255.485,19557416.718000002,True,Near maximum reduction cap
1847,Manufacturing/Industrial Plant,765.0,0.0,0.0,19088588.205,19512779.054,True,Near maximum reduction cap
1353,Manufacturing/Industrial Plant,223.6,0.0,0.0,17158627.439999998,17539930.272,True,Near maximum reduction cap
5089,Transportation Terminal/Station,193.1,139.9,30.021443888491778,16496304.0,19172137.599999998,True,Near maximum reduction cap
5675,Manufacturing/Industrial Plant,100.1,0.0,0.0,16248600.0,16609680.0,True,Near maximum reduction cap
