property_type,building_count,avg_current_eui,avg_reduction_required,opt_in_count,opt_in_pct,total_default_penalties,total_optin_penalties,total_npv_savings
Manufacturing/Industrial Plant,222,204.57117117117113,0.11627849619009989,171,77.0,1435916706.4800005,1467825966.6240008,169932567.61169836
Multifamily Housing,1003,56.61605184446656,11.392520795023538,558,55.6,419478776.2797003,565986296.7569996,-54815693.316813335
Data Center,5,569.1200000000001,0.0,5,100.0,178883340.11999997,182858525.456,21169824.929515675
Office,398,66.58994974874372,14.09525752879898,201,50.5,172329246.32249993,236977246.93704,-25943001.353826948
Other - Utility,10,205.83,0.0,10,100.0,140935164.97500002,144067057.53,16678874.438120909
Hotel,113,81.55752212389383,14.752483450205812,68,60.2,136245095.86020005,185026668.94368002,-18872561.323669
Distribution Center,181,45.19834254143648,-28.809495517564322,136,75.1,120872536.9146,141861887.08752006,291711.4401330316
Non-Refrigerated Warehouse,193,44.13989637305699,-70.81871294467068,126,65.3,89828754.25829999,105342823.33648,300401.0339454366
K-12 School,190,63.47368421052631,3.497395944957901,124,65.3,81165401.02710001,111719208.56935997,-12298943.456559487
Transportation Terminal/Station,7,148.35714285714286,27.55568120422836,3,42.9,78582699.73499998,105553722.76200001,-9824908.281186063
Hospital (General Medical & Surgical),6,215.68333333333337,20.909012464048295,4,66.7,77462695.42590001,115253162.24476004,-18164143.09371001
ADULT EDUCATION,2,237.7,73.42372554368714,2,100.0,59666379.9912,61534043.049839996,6628599.142123207
Mixed Use Property,38,89.60526315789475,15.64455159143033,28,73.7,44661965.9451,58432812.16564002,-4491447.092704862
College/University,29,77.9551724137931,11.226526323736271,18,62.1,32415136.3419,43495822.20028,-4087017.417583403
Convention Center,2,82.5,12.564543889845096,2,100.0,29045183.624999996,33738632.15,361172.6680780146
Other - Specialty Hospital,8,166.46249999999998,-2.9639278275347163,3,37.5,19553447.34,31541839.728,-6465653.118368762
Senior Living Community,38,87.46578947368423,16.530769080752265,24,63.2,19436970.868800003,24943855.438320003,-1575276.4119232916
Vehicle Dealership,19,143.4368421052631,-179.18744356214646,15,78.9,18998317.4112,21424270.79488,715201.4516668126
Retail Store,61,65.06065573770492,9.505491208188625,34,55.7,18478229.019600004,24333729.64144,-1954154.3245680446
Performing Arts,9,92.27777777777779,34.88080943096565,5,55.6,14596057.9599,17181860.953480005,-28250.989851201128
Medical Office,37,91.61081081081082,14.866936229636444,22,59.5,14079631.002900003,20214661.32412001,-2748030.8570114984
Strip Mall,47,84.76595744680851,-7.575105759504549,25,53.2,12933057.196800003,16628902.735759998,-1078447.8188951174
Museum,10,101.25,20.853222206003274,7,70.0,11826248.82,16068279.228,-1622385.7874246154
Lifestyle Center,5,92.80000000000001,17.582655630816713,4,80.0,11199131.936399998,16201207.860480001,-2327038.35688061
Drinking Water Treatment & Distribution,1,37.0,0.0,1,100.0,11058963.3,11304718.040000001,1308765.3484437764
Prison/Incarceration,4,86.475,10.53907430598793,2,50.0,10930447.004999999,16287103.252,-2592980.9848175133
Worship Facility,56,54.13392857142857,12.681498432966494,38,67.9,10839872.847599998,15268111.704640001,-1911809.3454658804
Supermarket/Grocery Store,38,172.34999999999997,5.54851402669962,15,39.5,9975509.7852,14665146.365280002,-2220179.1274267808
Laboratory,8,135.63750000000002,-5.869097952829398,3,37.5,9969111.705,10823910.078000002,702987.5960187352
Indoor Arena,2,88.8,41.70028470198131,2,100.0,9327441.563099999,12569850.49884,-1211890.5129444012
Food Service,6,104.21666666666667,37.67742298743955,5,83.3,9123135.344999999,11080155.838000001,-263564.57882577484
Other - Entertainment/Public Assembly,5,87.03999999999999,30.020675801296115,3,60.0,8672293.575,9990650.713999998,171999.92863419285
Residence Hall/Dormitory,7,75.18571428571428,36.1009762173422,6,85.7,8562585.907799998,11585452.33792,-1162720.5968792145
Manufacturing/Industrial,4,117.05,0.0,4,100.0,8438574.96,8626098.848000001,998657.3061412862
Library,6,85.13333333333333,37.256695995213356,5,83.3,8394683.642100003,11888460.990440002,-1521989.9832399809
Fitness Center/Health Club/Gym,13,109.86923076923075,34.44754498463796,9,69.2,8247272.9133,10610083.84176,-702415.5250071494
"Repair Services (Vehicle, Shoe, Locksmith, etc.)",13,87.43076923076924,59.65990538416831,11,84.6,7718751.1758,8746171.76664,249204.4671874199
Wholesale Club/Supercenter,7,78.41428571428571,33.65143882427645,5,71.4,7482997.270799999,9013364.157680001,-171213.82040792253
Refrigerated Warehouse,12,82.79166666666669,-2.8006795439481644,6,50.0,6960165.711000001,7899754.652799999,226438.51227707422
Self-Storage Facility,53,14.150943396226415,-5.963906395811171,32,60.4,6126297.998700001,6988871.55656,159863.19907417105
Other - Recreation,10,133.96,25.178976677209356,7,70.0,5876558.0178,8344955.8879200015,-1076650.448616084
Aquarium,2,297.65,29.993095365592783,2,100.0,5277600.0,7217400.000000001,-760370.3564446308
MIXED USE PROPERTY,14,74.61428571428573,15.660368232258515,7,50.0,5133718.4634,7353075.46176,-973379.62796908
Residential Care Facility,14,85.6857142857143,13.917972809627749,7,50.0,4561000.0329,6392347.35156,-785584.262689434
manufacturing/industrial plant,2,70.05,0.0,2,100.0,4488135.885,4587872.238,531145.3312622036
Adult Education,2,92.85,44.18214070048309,2,100.0,3488491.107600001,4678443.700640002,-440135.7069850585
Other - Mall,2,94.44999999999999,26.136454581832737,2,100.0,3130837.244999999,4694138.954,-764597.8921815234
Other - Lodging/Residential,5,78.0,29.298499406371693,4,80.0,2490934.2623999994,3480749.48936,-416307.1871749179
mixed use property,1,138.2,38.8929889298893,1,100.0,2349708.1799999997,3242889.9679999994,-360917.7628802401
Vocational School,3,69.66666666666667,45.9211176551585,3,100.0,2113287.9606000003,2880780.061920001,-304813.55931760254
Other - Education,2,133.95,62.32377248420029,2,100.0,2012737.2078000002,2287661.8119200007,59015.38939847716
Other/Specialty Hospital,3,135.93333333333334,-18.80572288358222,1,33.3,1522295.0351999998,1685160.3126400001,77120.48220975464
Social/Meeting Hall,5,43.099999999999994,-105.25002184267404,4,80.0,1457232.4874999998,1672019.0630000003,33352.6084174399
Other - Technology/Science,3,173.2,25.342662028480625,2,66.7,1449618.0299999998,2916737.5480000004,-917011.5461633342
Movie Theater,2,81.75,23.951680736465086,2,100.0,1413622.77,1956803.2920000001,-221551.81245054188
MOVIE THEATER,2,130.55,63.70786516853932,2,100.0,1262476.6920000003,1512132.9392000004,-27216.323102802213
"Personal Services (Health/Beauty, Dry Cleaning, etc.)",1,102.3,62.8755364806867,1,100.0,1202778.612,1346181.2784000002,49178.673391904566
Veterinary Office,1,190.4,69.35890964159515,1,100.0,1126036.0056000003,1266845.0379200005,40805.8766215652
other - recreation,1,172.5,42.00123533045089,1,100.0,1108785.3236999998,1483117.53668,-134544.95404786267
Pre-school/Daycare,6,59.06666666666666,29.837963988817215,4,66.7,1072129.0055999998,1610778.2979200003,-268712.1700973265
POLICE STATION,2,122.1,41.99874036025697,2,100.0,1063192.9395,1665356.5518000005,-313828.94113105757
Ice/Curling Rink,1,82.2,30.0531914893617,1,100.0,1054500.0,1361600.0,-90710.99210063124
LABORATORY,3,139.4,-27.087346656315333,0,0.0,974743.8299999998,2030161.0559999999,-668776.862809419
Courthouse,1,69.6,33.56973995271867,0,0.0,911069.9999999993,1960151.9999999988,-670252.5906414824
Other,6,49.78333333333334,0.6986947836338078,3,50.0,795775.8,895141.3239999999,32148.324034549216
