cluster_id,anchor_building_id,anchor_building_name,building_id,building_name,building_address,distance_m,property_type,is_epb,sqft
cluster_3172,3172,Unknown,3178,Unknown,Unknown,53.54,Office,False,544805.0
cluster_3172,3172,Unknown,3174,Unknown,Unknown,109.82,Wholesale Club/Supercenter,False,70254.0
cluster_3172,3172,Unknown,6119,Unknown,Unknown,187.55,Office,False,106000.0
cluster_3172,3172,Unknown,3158,Unknown,Unknown,263.85,Laboratory,True,50264.0
cluster_3172,3172,Unknown,3159,Unknown,Unknown,268.72,Office,True,25216.0
cluster_3172,3172,Unknown,3175,Unknown,Unknown,330.37,Manufacturing/Industrial Plant,False,40373.0
cluster_3172,3172,Unknown,3194,Unknown,Unknown,369.58,Multifamily Housing,True,89740.0
cluster_3172,3172,Unknown,5139,Unknown,Unknown,392.98,Multifamily Housing,True,97956.0
cluster_3172,3172,Unknown,3169,Unknown,Unknown,401.38,Manufacturing/Industrial,False,34516.0
cluster_3172,3172,Unknown,6246,Unknown,Unknown,420.69,Office,True,84783.0
cluster_3172,3172,Unknown,5869,Unknown,Unknown,449.41,Multifamily Housing,True,46121.0
cluster_3172,3172,Unknown,3155,Unknown,Unknown,481.89,Multifamily Housing,True,59800.0
cluster_3172,3172,Unknown,6011,Unknown,Unknown,487.07,Multifamily Housing,False,356280.0
cluster_1489,1489,Unknown,1490,Unknown,Unknown,86.05,Non-Refrigerated Warehouse,False,57520.0
cluster_1489,1489,Unknown,5410,Unknown,Unknown,99.45,Self-Storage Facility,False,123583.0
cluster_1489,1489,Unknown,1508,Unknown,Unknown,130.65,Manufacturing/Industrial,False,42130.0
cluster_1489,1489,Unknown,1492,Unknown,Unknown,147.63,Non-Refrigerated Warehouse,False,29376.0
cluster_1489,1489,Unknown,1491,Unknown,Unknown,158.12,Non-Refrigerated Warehouse,False,38080.0
cluster_1489,1489,Unknown,1507,Unknown,Unknown,173.5,Non-Refrigerated Warehouse,False,48550.0
cluster_1489,1489,Unknown,1494,Unknown,Unknown,224.55,Manufacturing/Industrial Plant,False,46000.0
cluster_1489,1489,Unknown,1496,Unknown,Unknown,224.9,Manufacturing/Industrial Plant,False,42707.0
cluster_1489,1489,Unknown,1509,Unknown,Unknown,228.39,Non-Refrigerated Warehouse,False,43069.0
cluster_1489,1489,Unknown,1522,Unknown,Unknown,292.81,Other - Recreation,False,26920.0
cluster_1489,1489,Unknown,1493,Unknown,Unknown,306.48,Manufacturing/Industrial Plant,False,30060.0
cluster_1489,1489,Unknown,1504,Unknown,Unknown,311.59,Non-Refrigerated Warehouse,False,49500.0
cluster_1489,1489,Unknown,1502,Unknown,Unknown,315.86,Non-Refrigerated Warehouse,False,121302.0
cluster_1489,1489,Unknown,1477,Unknown,Unknown,318.08,MIXED USE PROPERTY,False,74000.0
cluster_1489,1489,Unknown,1483,Unknown,Unknown,325.12,Office,True,32890.0
cluster_1489,1489,Unknown,5412,Unknown,Unknown,396.96,Non-Refrigerated Warehouse,False,41764.0
