cluster_id,anchor_building_id,anchor_building_name,anchor_building_address,anchor_property_type,member_count,total_buildings,total_sqft,total_thermal_load_mmbtu,total_cooling_load_tons,avg_distance_m,max_distance_m,epb_count,epb_percentage,total_penalty_exposure,property_type_diversity,opt_in_count,thermal_diversity_score,economic_potential_score
cluster_3172,3172,Unknown,Unknown,Manufacturing/Industrial Plant,13,14,1633806.0,0.0,4085.0,324.37,487.07,7,50.0,15257023.0,6,11,0,75.0
cluster_1489,1489,Unknown,Unknown,Manufacturing/Industrial Plant,21,22,1395017.0,0.0,3488.0,285.2,482.67,3,13.64,51604957.0,9,16,0,60.45
cluster_2210,2210,Unknown,Unknown,Manufacturing/Industrial Plant,17,18,1197751.0,0.0,2994.0,295.88,487.97,2,11.11,7969860.0,11,10,0,59.44
cluster_3653,3653,Unknown,Unknown,Manufacturing/Industrial Plant,10,11,1800689.0,0.0,4502.0,319.19,492.93,1,9.09,5171625.0,8,7,0,58.64
cluster_3022,3022,Unknown,Unknown,College/University,46,47,5192264.0,0.0,12981.0,335.4,493.79,4,8.51,32630824.0,13,26,0,58.4
cluster_3197,3197,Unknown,Unknown,Manufacturing/Industrial Plant,5,6,462198.0,0.0,1155.0,336.88,493.76,4,66.67,1773471.0,4,3,0,58.0
cluster_3765,3765,Unknown,Unknown,College/University,11,12,1438218.0,0.0,3596.0,288.01,452.01,2,16.67,7343025.0,3,6,0,57.67
cluster_1848,1848,Unknown,Unknown,Manufacturing/Industrial Plant,6,7,735626.0,0.0,1839.0,287.04,354.93,2,28.57,10522531.0,6,5,0,57.43
cluster_3250,3250,Unknown,Unknown,Manufacturing/Industrial Plant,16,17,1161780.0,0.0,2904.0,343.88,475.4,1,5.88,33707672.0,5,11,0,57.35
cluster_1900,1900,Unknown,Unknown,Manufacturing/Industrial Plant,16,17,1776013.0,0.0,4440.0,305.12,441.42,1,5.88,12773940.0,7,12,0,57.35
cluster_1485,1485,Unknown,Unknown,Manufacturing/Industrial Plant,10,11,520425.0,0.0,1301.0,238.59,490.95,2,18.18,10085527.0,7,9,0,57.27
cluster_3274,3274,Unknown,Unknown,Manufacturing/Industrial Plant,19,20,1614297.0,0.0,4036.0,325.88,486.15,1,5.0,31125995.0,10,16,0,57.0
cluster_1212,1212,Unknown,Unknown,Manufacturing/Industrial Plant,38,39,2750902.0,0.0,6877.0,335.38,482.21,1,2.56,59666966.0,9,33,0,56.03
cluster_2604,2604,Unknown,Unknown,Data Center,92,93,31420341.0,0.0,78551.0,299.72,497.38,2,2.15,326665564.0,12,56,0,55.86
cluster_3542,3542,Unknown,Unknown,Manufacturing/Industrial Plant,11,12,1840845.0,0.0,4602.0,268.8,487.15,0,0.0,15983869.0,5,8,0,55.0
cluster_2151,2151,Unknown,Unknown,Manufacturing/Industrial Plant,20,21,2948437.0,0.0,7371.0,293.69,461.61,0,0.0,30788349.0,9,12,0,55.0
cluster_1194,1194,Unknown,Unknown,Manufacturing/Industrial Plant,15,16,1539195.0,0.0,3848.0,279.17,483.33,0,0.0,14875050.0,7,12,0,55.0
cluster_1471,1471,Unknown,Unknown,Manufacturing/Industrial Plant,16,17,1529712.0,0.0,3824.0,341.4,492.85,0,0.0,15834602.0,5,12,0,55.0
cluster_6420,6420,Unknown,Unknown,Manufacturing/Industrial Plant,10,11,1901821.0,0.0,4755.0,312.52,466.17,0,0.0,14757969.0,5,8,0,55.0
cluster_1664,1664,Unknown,Unknown,Manufacturing/Industrial Plant,13,14,1913845.0,0.0,4785.0,328.04,470.81,0,0.0,100908698.0,6,8,0,55.0
cluster_1617,1617,Unknown,Unknown,Manufacturing/Industrial Plant,13,14,1986058.0,0.0,4965.0,316.11,495.04,0,0.0,48878655.0,5,9,0,55.0
cluster_1204,1204,Unknown,Unknown,Manufacturing/Industrial Plant,24,25,2011163.0,0.0,5028.0,336.07,495.3,0,0.0,41992835.0,5,14,0,55.0
cluster_1122,1122,Unknown,Unknown,Data Center,12,13,1271974.0,0.0,3180.0,257.37,452.79,0,0.0,13862935.0,6,8,0,55.0
cluster_3757,3757,Unknown,Unknown,Data Center,25,26,2169194.0,0.0,5423.0,303.39,486.59,0,0.0,10478789.0,5,17,0,55.0
cluster_4556,4556,Unknown,Unknown,Manufacturing/Industrial Plant,12,13,1157174.0,0.0,2893.0,256.05,492.15,0,0.0,33018841.0,10,11,0,55.0
cluster_1313,1313,Unknown,Unknown,Manufacturing/Industrial Plant,27,28,2544539.0,0.0,6361.0,351.85,472.35,0,0.0,49673155.0,10,20,0,55.0
cluster_1647,1647,Unknown,Unknown,Manufacturing/Industrial Plant,13,14,1670381.0,0.0,4176.0,362.56,497.46,0,0.0,44405541.0,4,10,0,53.0
cluster_3322,3322,Unknown,Unknown,Manufacturing/Industrial Plant,9,10,977639.0,0.0,2444.0,269.01,496.74,1,10.0,32892073.0,6,8,0,53.0
