building_id,property_type,sqft,path,normalized_first_year,normalized_second_year,normalized_final_year,penalty_2025,penalty_2027,penalty_2030,penalty_2031,penalty_2032,penalty_2033,penalty_2034,penalty_2035,penalty_2036,penalty_2037,penalty_2038,penalty_2039,penalty_2040,penalty_2041,penalty_2042,Building ID,Building Name,Weather Normalized Site EUI,First Interim Target EUI,Second Interim Target EUI,Original Final Target EUI,Year Built,gap_2025,gap_2030,penalty_per_sqft_2025,building_age
2047,Manufacturing/Industrial Plant,462285.0,standard,2025,2027,2030,69238735.875,69238735.875,69238735.875,69238735.875,69238735.875,69238735.875,69238735.875,69238735.875,69238735.875,69238735.875,69238735.875,69238735.875,69238735.875,69238735.875,69238735.875,2047,nestle purina petcare company,998.5,0.0,0.0,0.0,1928,998.5,998.5,149.775,97
1663,Manufacturing/Industrial Plant,243820.0,standard,2025,2027,2030,33310688.4,33310688.4,33310688.4,33310688.4,33310688.4,33310688.4,33310688.4,33310688.4,33310688.4,33310688.4,33310688.4,33310688.4,33310688.4,33310688.4,33310688.4,1663,Frito-Lay,910.8,0.0,0.0,0.0,1975,910.8,910.8,136.62,50
3919,Manufacturing/Industrial Plant,108000.0,standard,2025,2027,2030,31483080.0,31483080.0,31483080.0,31483080.0,31483080.0,31483080.0,31483080.0,31483080.0,31483080.0,31483080.0,31483080.0,31483080.0,31483080.0,31483080.0,31483080.0,3919,general shale brick plant 60,1943.4,0.0,0.0,0.0,1961,1943.4,1943.4,291.51,64
1272,Manufacturing/Industrial Plant,208523.0,standard,2025,2027,2030,29617564.304999996,29617564.304999996,29617564.304999996,29617564.304999996,29617564.304999996,29617564.304999996,29617564.304999996,29617564.304999996,29617564.304999996,29617564.304999996,29617564.304999996,29617564.304999996,29617564.304999996,29617564.304999996,29617564.304999996,1272,kroger mountain view foods,946.9,0.0,0.0,0.0,2013,946.9,946.9,142.03499999999997,12
5598,Data Center,188272.0,standard,2025,2027,2030,27814363.919999998,27814363.919999998,27814363.919999998,27814363.919999998,27814363.919999998,27814363.919999998,27814363.919999998,27814363.919999998,27814363.919999998,27814363.919999998,27814363.919999998,27814363.919999998,27814363.919999998,27814363.919999998,27814363.919999998,5598,denver gas & electric building,984.9,0.0,0.0,0.0,1910,984.9,984.9,147.73499999999999,115
2042,Data Center,179691.0,standard,2025,2027,2030,19934919.54,19934919.54,19934919.54,19934919.54,19934919.54,19934919.54,19934919.54,19934919.54,19934919.54,19934919.54,19934919.54,19934919.54,19934919.54,19934919.54,19934919.54,2042,"iron mountain, den-1",739.6,0.0,0.0,0.0,2001,739.6,739.6,110.94,24
1883,Manufacturing/Industrial Plant,185355.0,standard,2025,2027,2030,19832058.224999998,19832058.224999998,19832058.224999998,19832058.224999998,19832058.224999998,19832058.224999998,19832058.224999998,19832058.224999998,19832058.224999998,19832058.224999998,19832058.224999998,19832058.224999998,19832058.224999998,19832058.224999998,19832058.224999998,1883,beyond broadway llc,713.3,0.0,0.0,0.0,2015,713.3,713.3,106.99499999999999,10
1762,ADULT EDUCATION,506757.0,standard,2025,2027,2030,19535482.349999998,24704403.75,29873325.15,29873325.15,29873325.15,29873325.15,29873325.15,29873325.15,29873325.15,29873325.15,29873325.15,29873325.15,29873325.15,29873325.15,29873325.15,1762,united airlines flight training center,430.2,173.2,105.2,37.2,1966,257.0,393.0,38.55,59
5692,Other - Utility,439983.0,standard,2025,2027,2030,18221895.945,18221895.945,18221895.945,18221895.945,18221895.945,18221895.945,18221895.945,18221895.945,18221895.945,18221895.945,18221895.945,18221895.945,18221895.945,18221895.945,18221895.945,5692,231001,276.1,0.0,0.0,0.0,1929,276.1,276.1,41.415,96
1325,Manufacturing/Industrial Plant,173064.0,standard,2025,2027,2030,17198235.0,17198235.0,17198235.0,17198235.0,17198235.0,17198235.0,17198235.0,17198235.0,17198235.0,17198235.0,17198235.0,17198235.0,17198235.0,17198235.0,17198235.0,1325,"nr parentco, llc.",662.5,0.0,0.0,0.0,1966,662.5,662.5,99.375,59
